PO_NUMBER,PaymentNO,DATE,PARTOL_TYPE,O'ty,AMOUNT,Price/Liter,shipping Address,CompanyID,Companyname,TaxNumber,,,
2203012807,20044541,2018/03/01,DIESEL,9987.84,279060.2496,27.94,30038348,900698255,Umar Ltd.,100481153,,,
2203012917,20039106,2018/03/01,DIESEL,8986.66,251087.2804,27.94,30028393,900729796,Costa Thailand,100592124,,,
2203012924,20053415,2018/03/01,DIESEL,9950.76,278024.2344,27.94,30029534,900918894,Carl Thailand,100333847,,,
2203012929,20050258,2018/03/01,GASOHOL95,9812.5,323714.375,32.99,30029534,900918894,Carl Thailand,100557569,,,
2203012968,20037135,2018/03/01,DIESEL,9795.14,273676.2116,27.94,30038362,900525719,Musa Thailand,100841641,,,
2203013009,20019842,2018/03/01,DIESEL,9951.9,278056.086,27.94,30043240,900149913,de Araujo Thailand,100108745,,,
2203013020,20017074,2018/03/01,GASOHOL95,8199.22,270492.2678,32.99,30040275,900878137,Chowdhury Ltd.,100658151,,,
2203013100,20071396,2018/03/01,GASOHOL95,9950.66,328272.2734,32.99,30038348,900698255,Umar Ltd.,100761776,,,
2203013124,20057260,2018/03/01,DIESEL,9510.3,265717.782,27.94,10002877,900420943,Gomez PCL.,100845861,,,
2203013141,20035498,2018/03/01,DIESEL,9205.08,257189.9352,27.94,30038362,900525719,Musa Thailand,100819093,,,
2203013187,20069789,2018/03/01,DIESEL,9611.58,268547.5452,27.94,30047690,900318210,Fernandes PCL.,100386884,,,
2203013210,20026356,2018/03/01,DIESEL,8562.14,239226.1916,27.94,30038347,900964090,António co.,100197973,,,
2203013243,20034071,2018/03/01,DIESEL,9977.2,278762.968,27.94,10002758,900958892,Abdul co.,100873560,,,
2203013282,20094367,2018/03/01,DIESEL,9108.4,254488.696,27.94,30026514,900893009,Judith co.,100941798,,,
2203013370,20028114,2018/03/01,DIESEL,8387.06,234334.4564,27.94,10007736,900839198,Yahaya co.,100796261,,,
2203013377,20031912,2018/03/01,GASOHOL95,8762.38,289070.9162,32.99,30003313,900809814,Patel Thailand,100842893,,,
2203013386,20029702,2018/03/01,GASOHOL95,9675.9,319207.941,32.99,30029534,900918894,Carl Thailand,100763001,,,
2203013394,20031166,2018/03/01,DIESEL,9857.74,275425.2556,27.94,30013037,900111220,Palacios PCL.,100186298,,,
2203013411,20011221,2018/03/01,DIESEL,9926.48,277345.8512,27.94,10022660,900436502,Henry Ltd.,100667337,,,
2203013418,20092998,2018/03/01,GASOHOL95,9586.5,316258.635,32.99,30029534,900918894,Carl Thailand,100353915,,,
2203013421,20010908,2018/03/01,DIESEL,7564.38,211348.7772,27.94,10021783,900653239,Jeremy co.,100125867,,,
2203013424,20094009,2018/03/01,DIESEL,9316.12,260292.3928,27.94,30039757,900336285,Marilyn Ltd.,100700566,,,
2203013525,20037413,2018/03/01,DIESEL,9782.3,273317.462,27.94,30003071,900529293,Andrade co.,100583361,,,
2203013565,20015274,2018/03/01,DIESEL,9669.64,270169.7416,27.94,10011635,900392989,Michael PCL.,100582285,,,
2203013572,20086310,2018/03/01,DIESEL,9352.02,261295.4388,27.94,10002692,900626845,Benitez co.,100748081,,,
2203013575,20095554,2018/03/01,DIESEL,9853.1,275295.614,27.94,30040542,900309334,Robert Ltd.,100171787,,,
2203013609,20071616,2018/03/01,DIESEL,9915.24,277031.8056,27.94,10002917,900566996,Vieira Thailand,100247957,,,
2203013617,20052933,2018/03/01,DIESEL,5859.52,163714.9888,27.94,30043240,900149913,de Araujo Thailand,100706858,,,
2203013715,20082552,2018/03/01,DIESEL,9409.94,262913.7236,27.94,30038347,900964090,António co.,100552401,,,
2203013719,20094201,2018/03/01,DIESEL,9163.12,256017.5728,27.94,10012018,900942385,Chon Ltd.,100926080,,,
2203013726,20017865,2018/03/01,GASOHOL95,9991.58,329622.2242,32.99,10002966,900164770,Ahmad Ltd.,100305364,,,
2203013742,20043470,2018/03/01,DIESEL,8986.1,251071.634,27.94,30038362,900525719,Musa Thailand,100359822,,,
2203013768,20081397,2018/03/01,DIESEL,9867.14,275687.8916,27.94,30038348,900698255,Umar Ltd.,100602183,,,
2203013769,20074333,2018/03/01,DIESEL,9998.98,279371.5012,27.94,30038348,900698255,Umar Ltd.,100221299,,,
2203013779,20014535,2018/03/01,DIESEL,8947.64,249997.0616,27.94,30024855,900379336,Michael co.,100663424,,,
2203013783,20046628,2018/03/01,DIESEL,8761.12,244785.6928,27.94,30038362,900525719,Musa Thailand,100899531,,,
2203013818,20033395,2018/03/01,DIESEL,9749.28,272394.8832,27.94,30000420,900936124,Tran co.,100952843,,,
2203013842,20020686,2018/03/01,DIESEL,6232.32,174131.0208,27.94,30024157,900476663,Mai Ltd.,100576277,,,
2203013844,20053785,2018/03/01,DIESEL,8883.8,248213.372,27.94,10010409,900395500,Ramos Thailand,100483293,,,
2203013855,20024562,2018/03/01,DIESEL,9897.12,276525.5328,27.94,10002227,900692693,Wayne PCL.,100816732,,,
2203013859,20023673,2018/03/01,DIESEL,8990.96,251207.4224,27.94,30026294,900457467,Shi Ltd.,100939384,,,
2203013881,20066077,2018/03/01,DIESEL,9985.56,278996.5464,27.94,30040045,900983471,Ei Thailand,100634064,,,
2203013896,20051883,2018/03/01,DIESEL,9016.4,251918.216,27.94,10007530,900964542,Isah PCL.,100920749,,,
2203013941,20082149,2018/03/01,DIESEL,9996.58,279304.4452,27.94,30038348,900698255,Umar Ltd.,100866292,,,
2203014004,20059957,2018/03/01,DIESEL,9069.34,253397.3596,27.94,30018492,900986917,Peña Ltd.,100393470,,,
2203014007,20030296,2018/03/01,DIESEL,8127.76,227089.6144,27.94,30029534,900918894,Carl Thailand,100400252,,,
2203014030,20091622,2018/03/01,DIESEL,9875.5,275921.47,27.94,30000440,900182531,Mendoza Ltd.,100110881,,,
2203014034,20094880,2018/03/01,DIESEL,8168.8,228236.272,27.94,30013992,900930667,Suarez Thailand,100257838,,,
2203014063,20084753,2018/03/01,DIESEL,9457.48,264241.9912,27.94,10002692,900626845,Benitez co.,100937647,,,
2203014077,20012136,2018/03/01,DIESEL,9800.8,273834.352,27.94,30038348,900698255,Umar Ltd.,100359206,,,
2203014087,20011468,2018/03/01,DIESEL,8941.8,249833.892,27.94,10002692,900626845,Benitez co.,100874482,,,
2203014100,20025453,2018/03/01,DIESEL,6725.44,187908.7936,27.94,10002749,900732119,Philip Thailand,100772281,,,
2203014104,20031148,2018/03/01,DIESEL,8943.3,249875.802,27.94,30038348,900698255,Umar Ltd.,100343877,,,
2203014120,20023970,2018/03/01,DIESEL,9951.86,278054.9684,27.94,30038390,900756015,Haji PCL.,100340216,,,
2203014160,20056205,2018/03/01,DIESEL,9301.38,259880.5572,27.94,30042727,900321356,Samuel PCL.,100508670,,,
2203014161,20073294,2018/03/01,DIESEL,8832.12,246769.4328,27.94,10021385,900416393,Shirley Thailand,100185237,,,
2203014162,20056518,2018/03/01,DIESEL,9999.98,279399.4412,27.94,30038348,900698255,Umar Ltd.,100380101,,,
2203014163,20061257,2018/03/01,DIESEL,9999.36,279382.1184,27.94,30038348,900698255,Umar Ltd.,100158078,,,
2203014164,20035154,2018/03/01,DIESEL,10000,279400,27.94,30038348,900698255,Umar Ltd.,100230272,,,
2203014165,20018153,2018/03/01,DIESEL,8683.16,242607.4904,27.94,30034185,900683047,Barbosa Thailand,100126983,,,
2203014166,20084421,2018/03/01,GASOHOL95,9985.42,329419.0058,32.99,10002739,900608159,de La Cruz PCL.,100111168,,,
2203014286,20029296,2018/03/01,DIESEL,9716.88,271489.6272,27.94,30029534,900918894,Carl Thailand,100526252,,,
2203014311,20086364,2018/03/01,GASOHOL95,9929.62,327578.1638,32.99,30038390,900756015,Haji PCL.,100956726,,,
2203014315,20019984,2018/03/01,GASOHOL95,7078.68,233525.6532,32.99,30038362,900525719,Musa Thailand,100746250,,,
2203014321,20056124,2018/03/01,DIESEL,9989.2,279098.248,27.94,30000425,900302592,Kwon PCL.,100702170,,,
2203014342,20032411,2018/03/01,DIESEL,9993.34,279213.9196,27.94,30038362,900525719,Musa Thailand,100813623,,,
2203014347,20032335,2018/03/01,DIESEL,9999.64,279389.9416,27.94,30029534,900918894,Carl Thailand,100995864,,,
2203014377,20059614,2018/03/01,DIESEL,9113.94,254643.4836,27.94,10003041,900304705,Sylla Thailand,100179801,,,
2203014392,20098046,2018/03/01,DIESEL,9401.02,262664.4988,27.94,10008093,900552593,Jana co.,100942952,,,
2203014447,20036968,2018/03/01,DIESEL,9967.06,278479.6564,27.94,30003313,900809814,Patel Thailand,100304587,,,
2203014502,20096789,2018/03/01,DIESEL,9570.02,267386.3588,27.94,30001090,900464445,Adamu co.,100932830,,,
2203014508,20053675,2018/03/01,DIESEL,9617.58,268715.1852,27.94,30022899,900451302,Peña Thailand,100154312,,,
2203014598,20045039,2018/03/01,DIESEL,7360.36,205648.4584,27.94,30020706,900260109,Jin Thailand,100646379,,,
2203014842,20099041,2018/03/02,GASOHOL95,9829.84,323794.9296,32.94,30038390,900756015,Haji PCL.,100823474,,,
2203014844,20049374,2018/03/02,GASOHOL95,9339.64,307647.7416,32.94,30038390,900756015,Haji PCL.,100828111,,,
2203014845,20025038,2018/03/02,DIESEL,8131.44,214995.2736,26.44,30038390,900756015,Haji PCL.,100333403,,,
2203014847,20084140,2018/03/02,DIESEL,8727.98,230767.7912,26.44,30038390,900756015,Haji PCL.,100459607,,,
2203014850,20024091,2018/03/02,GASOHOL95,9740.1,320838.894,32.94,30038390,900756015,Haji PCL.,100769385,,,
2203014855,20091740,2018/03/02,DIESEL,8888.08,235000.8352,26.44,30038348,900698255,Umar Ltd.,100926532,,,
2203014862,20084329,2018/03/02,DIESEL,9149.78,241920.1832,26.44,30038348,900698255,Umar Ltd.,100359872,,,
2203014898,20088389,2018/03/02,DIESEL,9957.68,263281.0592,26.44,30026514,900893009,Judith co.,100573318,,,
2203014955,20080184,2018/03/02,DIESEL,7833.52,207118.2688,26.44,10008008,900449080,Yang PCL.,100832477,,,
2203014958,20092625,2018/03/02,DIESEL,9327.86,246628.6184,26.44,30038348,900698255,Umar Ltd.,100831169,,,
2203014963,20031382,2018/03/02,DIESEL,9715.86,256887.3384,26.44,10022892,900526379,Stephanie co.,100437155,,,
2203014977,20062254,2018/03/02,DIESEL,9969.9,263604.156,26.44,30015113,900355856,Carter Ltd.,100432041,,,
2203015006,20035846,2018/03/02,DIESEL,9363.68,247575.6992,26.44,30026514,900893009,Judith co.,100925235,,,
2203015013,20062988,2018/03/02,DIESEL,9977.78,263812.5032,26.44,30038348,900698255,Umar Ltd.,100366347,,,
2203015078,20079681,2018/03/02,DIESEL,7995.6,211403.664,26.44,30038347,900964090,António co.,100995128,,,
2203015088,20019252,2018/03/02,DIESEL,9469.48,250373.0512,26.44,30038348,900698255,Umar Ltd.,100634852,,,
2203015095,20034515,2018/03/02,DIESEL,9925.14,262420.7016,26.44,30038348,900698255,Umar Ltd.,100327529,,,
2203015166,20051611,2018/03/02,DIESEL,9977.24,263798.2256,26.44,10002913,900998229,Wang co.,100954715,,,
2203015168,20096993,2018/03/02,DIESEL,9464.42,250239.2648,26.44,30038348,900698255,Umar Ltd.,100334262,,,
2203015172,20052165,2018/03/02,DIESEL,9754,257895.76,26.44,10020965,900619874,Brenda Thailand,100581546,,,
2203015175,20068153,2018/03/02,GASOHOL95,9559.38,314885.9772,32.94,30038390,900756015,Haji PCL.,100244756,,,
2203015185,20031002,2018/03/02,DIESEL,9907.08,261943.1952,26.44,30038390,900756015,Haji PCL.,100818258,,,
2203015187,20093313,2018/03/02,DIESEL,9622.84,254427.8896,26.44,10002256,900592522,Reddy Thailand,100690985,,,
2203015189,20040423,2018/03/02,DIESEL,8074.34,213485.5496,26.44,30040971,900751689,Jia PCL.,100185474,,,
2203015197,20050211,2018/03/02,DIESEL,9940.78,262834.2232,26.44,30013992,900930667,Suarez Thailand,100213462,,,
2203015209,20093273,2018/03/02,DIESEL,9999.48,264386.2512,26.44,30030400,900568300,Romero Thailand,100423503,,,
2203015212,20034184,2018/03/02,DIESEL,6541.22,172949.8568,26.44,30042181,900886565,Janet co.,100749015,,,
2203015219,20079778,2018/03/02,DIESEL,9995.12,264270.9728,26.44,30038362,900525719,Musa Thailand,100188941,,,
2203015234,20083237,2018/03/02,DIESEL,8837.2,233655.568,26.44,30032380,900996478,Uddin co.,100913166,,,
2203015246,20097573,2018/03/02,GASOHOL95,9222.58,303791.7852,32.94,10001126,900617086,Petrova Thailand,100300070,,,
2203015259,20052367,2018/03/02,DIESEL,6202.98,164006.7912,26.44,10011002,900628124,Truong co.,100469477,,,
2203015272,20047631,2018/03/02,DIESEL,9291.78,245674.6632,26.44,10007214,900754301,Hoang Ltd.,100332312,,,
2203015303,20095653,2018/03/02,DIESEL,9994.06,264242.9464,26.44,30018565,900181672,Hidayat Ltd.,100382922,,,
2203015305,20067138,2018/03/02,DIESEL,9871.28,260996.6432,26.44,30002244,900627148,Giri co.,100595432,,,
2203015310,20017311,2018/03/02,DIESEL,9140.1,241664.244,26.44,10001207,900931465,Younis Thailand,100199445,,,
2203015324,20092027,2018/03/02,DIESEL,9957,263263.08,26.44,10008836,900655094,Wei co.,100487921,,,
2203015329,20028974,2018/03/02,DIESEL,9532.18,252030.8392,26.44,30003313,900809814,Patel Thailand,100399548,,,
2203015366,20066023,2018/03/02,DIESEL,9718.36,256953.4384,26.44,10012713,900497673,Ochoa Ltd.,100509410,,,
2203015395,20013694,2018/03/02,DIESEL,8665.28,229110.0032,26.44,30038348,900698255,Umar Ltd.,100620040,,,
2203015416,20050377,2018/03/02,DIESEL,5356.42,141623.7448,26.44,30022248,900726433,Bala PCL.,100885872,,,
2203015437,20065471,2018/03/02,DIESEL,9867.12,260886.6528,26.44,30025508,900694980,Traore PCL.,100346494,,,
2203015446,20058119,2018/03/02,DIESEL,9624.64,254475.4816,26.44,30043240,900149913,de Araujo Thailand,100329342,,,
2203015458,20083872,2018/03/02,GASOHOL95,9535.68,314105.2992,32.94,30040542,900309334,Robert Ltd.,100457987,,,
2203015503,20052548,2018/03/02,DIESEL,9773.58,258413.4552,26.44,30038362,900525719,Musa Thailand,100839460,,,
2203015523,20018945,2018/03/02,DIESEL,9303.32,245979.7808,26.44,30020702,900700875,Karim Ltd.,100613812,,,
2203015541,20024890,2018/03/02,DIESEL,9755.9,257945.996,26.44,30027174,900501135,Wen co.,100614030,,,
2203015608,20084971,2018/03/02,DIESEL,9942.2,262871.768,26.44,30043240,900149913,de Araujo Thailand,100495066,,,
2203015637,20027743,2018/03/02,DIESEL,8555.24,226200.5456,26.44,30038348,900698255,Umar Ltd.,100870160,,,
2203015695,20022333,2018/03/02,DIESEL,9966.28,263508.4432,26.44,30038348,900698255,Umar Ltd.,100685785,,,
2203015745,20047285,2018/03/02,DIESEL,9999.86,264396.2984,26.44,30043240,900149913,de Araujo Thailand,100733516,,,
2203015770,20077984,2018/03/02,DIESEL,9942.1,262869.124,26.44,30038348,900698255,Umar Ltd.,100531351,,,
2203015789,20094619,2018/03/02,DIESEL,9670.16,255679.0304,26.44,30013037,900111220,Palacios PCL.,100723368,,,
2203015831,20013621,2018/03/02,GASOHOL95,7670.96,252681.4224,32.94,30033527,900672721,Tong co.,100811052,,,
2203015832,20096682,2018/03/02,GASOHOL95,9896.66,325995.9804,32.94,30037192,900917745,Pinto Ltd.,100666086,,,
2203015868,20069759,2018/03/02,DIESEL,9972.6,263675.544,26.44,30038362,900525719,Musa Thailand,100382984,,,
2203015890,20016637,2018/03/02,GASOHOL95,9423.3,310403.502,32.94,30029534,900918894,Carl Thailand,100240239,,,
2203015899,20056156,2018/03/02,DIESEL,9984.7,263995.468,26.44,30029534,900918894,Carl Thailand,100466667,,,
2203015929,20062860,2018/03/02,DIESEL,7807.02,206417.6088,26.44,30038348,900698255,Umar Ltd.,100613341,,,
2203015940,20073772,2018/03/02,DIESEL,9999.2,264378.848,26.44,10002966,900164770,Ahmad Ltd.,100412592,,,
2203016023,20030147,2018/03/02,DIESEL,9582.24,253354.4256,26.44,30038362,900525719,Musa Thailand,100643111,,,
2203016028,20062271,2018/03/02,GASOHOL95,9677.48,318776.1912,32.94,30038362,900525719,Musa Thailand,100705256,,,
2203016032,20079661,2018/03/02,GASOHOL95,7317.02,241022.6388,32.94,10002940,900768802,Escobar Thailand,100541122,,,
2203016037,20074363,2018/03/02,DIESEL,10000,264400,26.44,30038362,900525719,Musa Thailand,100797363,,,
2203016046,20065413,2018/03/02,GASOHOL95,9094.02,299557.0188,32.94,30038347,900964090,António co.,100878845,,,
2203016063,20059272,2018/03/02,DIESEL,9974.68,263730.5392,26.44,30038362,900525719,Musa Thailand,100301735,,,
2203016167,20032258,2018/03/02,GASOHOL95,6087.28,200515.0032,32.94,30043240,900149913,de Araujo Thailand,100402392,,,
2203016169,20053033,2018/03/02,DIESEL,9889.82,261486.8408,26.44,10008008,900449080,Yang PCL.,100850917,,,
2203016195,20043258,2018/03/02,GASOHOL95,9955.94,327948.6636,32.94,30028481,900903642,Kone PCL.,100368576,,,
2203016216,20022869,2018/03/02,DIESEL,9995.06,264269.3864,26.44,10013572,900864537,Lewis Thailand,100286408,,,
2203016307,20013221,2018/03/02,GASOHOL95,7862.22,258981.5268,32.94,30002944,900934015,Wu PCL.,100839166,,,
2203016321,20096701,2018/03/02,DIESEL,9378.28,247961.7232,26.44,10002812,900769545,Afzal Ltd.,100264519,,,
2203016396,20099050,2018/03/02,DIESEL,9066.24,239711.3856,26.44,30000876,900402499,Gayakwad co.,100128862,,,
2203016407,20021773,2018/03/02,GASOHOL95,9460.32,311622.9408,32.94,10002244,900787895,Gul co.,100553555,,,
2203016423,20021175,2018/03/02,DIESEL,9940.88,262836.8672,26.44,10022660,900436502,Henry Ltd.,100521284,,,
2203016469,20013931,2018/03/02,DIESEL,9905.66,261905.6504,26.44,30038348,900698255,Umar Ltd.,100114014,,,
2203016470,20086192,2018/03/02,DIESEL,9937.62,262750.6728,26.44,30000419,900688029,Rogers Thailand,100123749,,,
2203016502,20052547,2018/03/02,GASOHOL95,9570.38,315248.3172,32.94,10021938,900536640,Ti Ltd.,100791072,,,
2203016508,20099798,2018/03/02,GASOHOL95,9800.34,322823.1996,32.94,10021938,900536640,Ti Ltd.,100306027,,,
2203016509,20054258,2018/03/02,DIESEL,9999.48,264386.2512,26.44,10002758,900958892,Abdul co.,100333011,,,
2203016516,20088055,2018/03/02,DIESEL,9550.86,252524.7384,26.44,30024483,900102238,Amber Thailand,100871022,,,
2203016552,20011653,2018/03/02,DIESEL,9981.94,263922.4936,26.44,30000449,900100592,Manjhi PCL.,100608348,,,
2203016572,20036962,2018/03/02,DIESEL,7599.8,200938.712,26.44,30024855,900379336,Michael co.,100708518,,,
2203016602,20065785,2018/03/02,DIESEL,9623.6,254447.984,26.44,30013992,900930667,Suarez Thailand,100133622,,,
2203016622,20096045,2018/03/02,GASOHOL95,9330,307330.2,32.94,10021938,900536640,Ti Ltd.,100673762,,,
2203016694,20053714,2018/03/02,GASOHOL95,8873.46,292291.7724,32.94,30040275,900878137,Chowdhury Ltd.,100804389,,,
2203016721,20028067,2018/03/02,DIESEL,9644.34,254996.3496,26.44,30024684,900518169,Smith Ltd.,100783297,,,
2203016726,20094648,2018/03/02,DIESEL,9997.12,264323.8528,26.44,30000417,900541792,Hou Thailand,100899613,,,
2203016744,20064288,2018/03/02,DIESEL,8839.12,233706.3328,26.44,10002692,900626845,Benitez co.,100462436,,,
2203016763,20061193,2018/03/02,DIESEL,7808.58,206458.8552,26.44,30000420,900936124,Tran co.,100905707,,,
2203016764,20086767,2018/03/02,DIESEL,9680.96,255964.5824,26.44,30032598,900212842,Gayakwad Thailand,100506210,,,
2203016797,20010248,2018/03/02,DIESEL,9421.92,249115.5648,26.44,30020706,900260109,Jin Thailand,100486975,,,
2203016880,20062791,2018/03/02,DIESEL,9872.56,261030.4864,26.44,30029534,900918894,Carl Thailand,100342778,,,
2203016888,20051805,2018/03/02,DIESEL,9949.02,263052.0888,26.44,30015113,900355856,Carter Ltd.,100761627,,,
2203016903,20087783,2018/03/02,DIESEL,9953.3,263165.252,26.44,10002698,900932216,Banda PCL.,100979241,,,
2203016979,20031018,2018/03/02,DIESEL,7096.52,187631.9888,26.44,30029534,900918894,Carl Thailand,100604517,,,
2203017007,20047327,2018/03/02,DIESEL,9225.84,243931.2096,26.44,10021849,900943138,Tiwari co.,100413879,,,
2203017034,20094150,2018/03/02,DIESEL,7747.92,204855.0048,26.44,30033260,900782972,Yusuf Thailand,100853908,,,
2203017035,20019277,2018/03/02,DIESEL,9983.06,263952.1064,26.44,30003313,900809814,Patel Thailand,100751164,,,
2203017036,20029005,2018/03/02,DIESEL,9838.42,260127.8248,26.44,10001549,900783858,Akter Thailand,100922081,,,
2203017041,20022200,2018/03/02,DIESEL,9999.24,264379.9056,26.44,30038348,900698255,Umar Ltd.,100825328,,,
2203017045,20057814,2018/03/02,DIESEL,7929.9,209666.556,26.44,30018141,900527094,Machado PCL.,100856759,,,
2203017050,20099799,2018/03/02,DIESEL,9955.84,263232.4096,26.44,30000441,900265470,Solomon Ltd.,100105207,,,
2203017102,20061674,2018/03/02,DIESEL,9741.38,257562.0872,26.44,30034185,900683047,Barbosa Thailand,100788202,,,
2203017131,20052993,2018/03/02,DIESEL,9777.56,258518.6864,26.44,30038348,900698255,Umar Ltd.,100549853,,,
